"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","countri","nation","govern","public","time","shall","world","law","will","peopl"
"2","great","war","state","use","year","peopl","new","upon","can","freedom"
"3","interest","peac","power","industri","now","may","america","congress","must","free"
"4","everi","great","right","mean","man","duti","american","parti","one","life"
"5","mani","unit","constitut","interest","come","upon","work","question","nation","liberti"
"6","much","polici","union","secur","day","faith","let","polit","everi","human"
"7","present","forc","preserv","revenu","first","purpos","live","effect","good","men"
"8","danger","foreign","within","product","histori","offic","nation","subject","make","justic"
"9","spirit","made","general","condit","futur","best","peac","opinion","citizen","believ"
"10","caus","secur","unit","busi","god","support","seek","execut","never","thing"
"11","patriot","maintain","protect","may","presid","confid","hope","legisl","like","civil"
"12","experi","less","principl","demand","stand","public","way","administr","other","long"
"13","success","establish","author","need","today","servic","help","elect","need","republ"
"14","continu","relat","form","well","generat","will","togeth","control","anoth","know"
"15","happi","countri","equal","econom","heart","respons","old","reason","communiti","order"
"16","mind","progress","feder","encourag","still","trust","land","given","race","democraci"
"17","charact","intern","object","economi","last","honor","see","enforc","done","common"
"18","fellowcitizen","extend","whole","necessari","american","take","make","certain","noth","spirit"
"19","result","state","citizen","labor","face","execut","promis","action","whether","moral"
"20","exist","defens","limit","trade","past","oblig","strength","made","among","fear"
